<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	DATE
SBER	D	20200812	0	233.1400000	242.5000000	233.0300000	242.4000000	100956370	2020-08-12
SBER	D	20200813	0	242.1400000	244.0400000	238.5700000	241.3900000	85633070	2020-08-13
SBER	D	20200814	0	242.0000000	242.2200000	238.4700000	239.9900000	44251150	2020-08-14
SBER	D	20200817	0	240.8000000	242.3500000	234.5000000	237.8000000	77010820	2020-08-17
SBER	D	20200818	0	236.8800000	239.8300000	235.6900000	236.3000000	36709210	2020-08-18
SBER	D	20200819	0	235.8900000	240.7500000	235.1900000	239.4000000	38198470	2020-08-19
SBER	D	20200820	0	238.4400000	238.5100000	230.3300000	232.4800000	116907020	2020-08-20
SBER	D	20200821	0	233.3200000	236.5000000	227.3500000	231.2200000	138860290	2020-08-21
SBER	D	20200824	0	232.5000000	233.7000000	230.2000000	231.8100000	44448280	2020-08-24
SBER	D	20200825	0	232.2200000	232.9700000	226.9000000	228.0800000	58959140	2020-08-25
SBER	D	20200826	0	228.3000000	229.4000000	224.7000000	227.8000000	75719340	2020-08-26
SBER	D	20200827	0	227.8000000	229.9800000	225.6000000	226.2300000	51005540	2020-08-27
SBER	D	20200828	0	227.0000000	228.1000000	225.1900000	226.3000000	40700580	2020-08-28
SBER	D	20200831	0	227.0200000	229.7100000	225.0000000	226.1000000	61944640	2020-08-31
SBER	D	20200901	0	226.7100000	227.9700000	226.0100000	227.6400000	37502870	2020-09-01
SBER	D	20200902	0	228.5600000	228.7500000	220.8500000	222.5700000	77783830	2020-09-02
SBER	D	20200903	0	221.7000000	224.2300000	218.0000000	218.3200000	69352330	2020-09-03
SBER	D	20200904	0	218.0100000	222.5000000	216.7500000	222.2100000	70514060	2020-09-04
SBER	D	20200907	0	221.5800000	224.2000000	220.5000000	221.3200000	59227020	2020-09-07
SBER	D	20200908	0	222.0100000	222.4800000	216.2900000	217.6800000	69809370	2020-09-08
SBER	D	20200909	0	217.0300000	218.8800000	216.8000000	218.0000000	47977600	2020-09-09
SBER	D	20200910	0	218.2500000	222.1500000	215.7900000	220.6000000	71152000	2020-09-10
SBER	D	20200911	0	221.2200000	223.1500000	219.7500000	221.0700000	45633510	2020-09-11
SBER	D	20200914	0	222.3200000	227.5400000	222.1300000	227.3700000	62798500	2020-09-14
SBER	D	20200915	0	228.2100000	231.9500000	227.3900000	231.5000000	61742490	2020-09-15
SBER	D	20200916	0	231.7300000	232.6000000	230.1500000	231.0600000	39547830	2020-09-16
SBER	D	20200917	0	229.1000000	231.7500000	228.5700000	231.4600000	48862560	2020-09-17
SBER	D	20200918	0	232.0100000	232.5900000	229.0000000	230.3000000	54568200	2020-09-18
SBER	D	20200921	0	229.8800000	230.0700000	223.4900000	226.2500000	70253350	2020-09-21
SBER	D	20200922	0	226.0100000	230.2800000	225.4600000	229.8800000	66529120	2020-09-22
SBER	D	20200923	0	230.0500000	232.1000000	227.6100000	228.5000000	71209480	2020-09-23
SBER	D	20200924	0	227.7000000	231.1000000	225.7500000	228.1700000	81830090	2020-09-24
SBER	D	20200925	0	229.0100000	229.3000000	226.2500000	228.2400000	60095930	2020-09-25
SBER	D	20200928	0	228.7900000	229.5500000	227.3500000	228.6300000	64238440	2020-09-28
SBER	D	20200929	0	228.8500000	228.8500000	223.1000000	225.4800000	90380110	2020-09-29
SBER	D	20200930	0	224.4400000	230.7500000	223.2500000	229.1400000	78547070	2020-09-30
SBER	D	20201001	0	229.1400000	229.9000000	226.8600000	227.2300000	77695460	2020-10-01
SBER	D	20201002	0	210.4000000	211.3900000	206.5000000	208.8000000	113333260	2020-10-02
SBER	D	20201005	0	209.6000000	210.6900000	207.7200000	208.8900000	45503950	2020-10-05
SBER	D	20201006	0	209.0000000	212.9900000	208.3500000	211.1800000	87494140	2020-10-06
SBER	D	20201007	0	211.3100000	212.6600000	209.0300000	210.6000000	61938560	2020-10-07
SBER	D	20201008	0	211.2100000	211.4300000	207.2600000	207.9700000	49386720	2020-10-08
SBER	D	20201009	0	208.4600000	208.9600000	204.4000000	205.3800000	65464660	2020-10-09
SBER	D	20201012	0	205.9700000	208.4900000	204.5700000	206.1800000	52059840	2020-10-12
SBER	D	20201013	0	205.9200000	207.6400000	204.7700000	205.0300000	45995460	2020-10-13
SBER	D	20201014	0	205.1300000	208.0000000	204.7800000	207.8300000	46800230	2020-10-14
SBER	D	20201015	0	207.4500000	207.5700000	201.9500000	203.8500000	76453110	2020-10-15
SBER	D	20201016	0	204.0100000	204.2500000	200.5000000	201.1700000	66207070	2020-10-16
SBER	D	20201019	0	201.5900000	204.0000000	201.5900000	202.7800000	47388190	2020-10-19
SBER	D	20201020	0	203.0000000	209.7600000	202.5000000	209.5400000	80894090	2020-10-20
SBER	D	20201021	0	210.0400000	213.2500000	208.9000000	210.3300000	82434060	2020-10-21
SBER	D	20201022	0	209.5800000	211.5300000	207.8400000	210.2100000	46737620	2020-10-22
SBER	D	20201023	0	210.0000000	214.7300000	209.1500000	214.5000000	75208650	2020-10-23
SBER	D	20201026	0	213.4000000	214.4500000	210.5000000	211.1000000	58821670	2020-10-26
SBER	D	20201027	0	211.5000000	212.2900000	206.6600000	207.6400000	61053270	2020-10-27
SBER	D	20201028	0	206.9100000	206.9400000	202.3000000	204.7300000	70128700	2020-10-28
SBER	D	20201029	0	206.5100000	207.3300000	203.6400000	205.5800000	91297990	2020-10-29
SBER	D	20201030	0	203.6600000	204.8400000	200.6100000	200.9900000	83424060	2020-10-30
SBER	D	20201102	0	200.4400000	204.5900000	196.1500000	204.5000000	82202910	2020-11-02
SBER	D	20201103	0	205.7000000	211.1100000	203.8000000	209.2000000	90250210	2020-11-03
SBER	D	20201105	0	214.4000000	218.6500000	211.4300000	216.7000000	152059160	2020-11-05
SBER	D	20201106	0	215.8000000	218.2900000	213.0000000	217.5000000	94928190	2020-11-06
SBER	D	20201109	0	220.0000000	231.3000000	218.7000000	228.0500000	217217210	2020-11-09
SBER	D	20201110	0	227.1800000	237.6000000	226.2700000	236.1000000	229431100	2020-11-10
SBER	D	20201111	0	237.0000000	245.9800000	236.8900000	244.2000000	234734740	2020-11-11
SBER	D	20201112	0	243.3100000	245.7200000	240.2200000	242.0800000	151362110	2020-11-12
SBER	D	20201113	0	242.0100000	244.1400000	238.6200000	242.9900000	106127700	2020-11-13
SBER	D	20201116	0	244.1400000	248.7300000	244.0000000	247.9900000	113715900	2020-11-16
SBER	D	20201117	0	247.9900000	249.8400000	243.4100000	245.7000000	94861740	2020-11-17
SBER	D	20201118	0	245.0700000	247.2300000	242.5900000	242.7100000	60036860	2020-11-18
SBER	D	20201119	0	242.5000000	243.4900000	237.3400000	240.2700000	96933550	2020-11-19
SBER	D	20201120	0	239.7000000	240.7700000	236.5700000	239.4200000	48707710	2020-11-20
SBER	D	20201123	0	240.4600000	243.8700000	238.5200000	239.7000000	74750590	2020-11-23
SBER	D	20201124	0	241.5100000	247.8500000	239.5700000	247.3300000	84391720	2020-11-24
SBER	D	20201125	0	247.9500000	252.2000000	246.5500000	251.9100000	133279720	2020-11-25
SBER	D	20201126	0	252.2000000	252.8800000	247.4400000	250.1000000	79802600	2020-11-26
SBER	D	20201127	0	250.3100000	252.2600000	248.0300000	251.5900000	51413850	2020-11-27
SBER	D	20201130	0	249.7200000	251.0000000	245.9800000	249.6300000	112040430	2020-11-30
SBER	D	20201201	0	250.7100000	260.9900000	249.8000000	260.8100000	132045800	2020-12-01
SBER	D	20201202	0	260.0500000	264.9900000	258.8000000	264.0600000	93270290	2020-12-02
SBER	D	20201203	0	264.4900000	264.6300000	260.8500000	263.1400000	62219970	2020-12-03
SBER	D	20201204	0	264.6500000	270.8400000	264.5000000	270.0000000	94546040	2020-12-04
SBER	D	20201207	0	269.2000000	276.1300000	268.1000000	274.3600000	94682100	2020-12-07
SBER	D	20201208	0	274.4400000	276.6600000	271.5200000	275.4900000	78823270	2020-12-08
SBER	D	20201209	0	276.1900000	279.4200000	275.8700000	276.8900000	73606600	2020-12-09
SBER	D	20201210	0	276.7000000	282.2000000	275.2000000	282.2000000	75547130	2020-12-10
SBER	D	20201211	0	282.5000000	284.6000000	279.7800000	283.7300000	76031520	2020-12-11
